Text;Classification;Date
La catastrophe que vient de subir le Japon a permis au monde entier, et à la France en particulier, de prendre conscience du danger que représente le nucléaire. Nous savions tous que cette source d'énergie était aussi une source d'inquiétude, et nombre d'entre nous avaient depuis longtemps mesuré le danger potentiel représenté par les centrales nucléaires, non seulement du fait de leur vieillissement, mais aussi parce qu'elles produisent des déchets à la nocivité « durable », puisqu'elle se mesure en milliers d'années. La soudaineté et la violence de cette prise de conscience doivent impérativement déboucher sur un changement de la stratégie énergétique de la France. Certes, nous avons aujourd'hui besoin d'un audit sur les centrales, mais nous ne pouvons continuer à miser sur le « tout nucléaire ». Il est temps de mettre en place des protocoles de sortie du nucléaire et de se tourner vers des sources d'énergie moins dangereuses – même si le risque zéro n'existe pas – et moins nocives, pour les hommes et pour la planète. Vous nous avez dit, madame la ministre, que l'on avait beaucoup appris de Tchernobyl. J'espère que nous apprendrons beaucoup de Fukushima, et que vous allez prendre clairement position en faveur d'une diminution de la part du nucléaire, voire de sa disparition progressive, et vous engager en faveur des énergies renouvelables, afin de ne pas condamner nos enfants, nos petits-enfants et nous-mêmes à subir de futurs Fukushima. Bref, à quand un grand débat sur le nucléaire ?;negative;04.05.2011
a fait observer que, dans une déclaration récente, le secrétaire d'Etat chargé des affaires européennes, M. Jean-Pierre Jouyet, avait souligné la nécessité d'éviter toute position frontale de la part de la France sur l'énergie nucléaire et comptait sur d'autres pays intéressés par celle-ci pour faire progresser le débat au sein de l'Union, ce qui, selon M. Jean-Paul Gauzès, devrait inciter la Bulgarie à jouer un rôle important. Le Président Mladen Petrov Tcherveniakov déclarant que, si « la grande France » n'exprimait pas de position claire dans le débat sur l'énergie nucléaire, il s'est demandé ce que « la petite Bulgarie » pourrait alors faire. Le Président Pierre Lequiller a souligné que les réactions allemandes étaient défavorables aux propos tenus par le Président Nicolas Sarkozy sur l'énergie nucléaire lors d'un déplacement en Allemagne Il a indiqué qu'à titre personnel la Chancelière Angela Merkel n'était pas opposée à l'idée d'une relance de l'énergie nucléaire, laquelle ne pourra avoir lieu que dans le cadre d'une nouvelle alliance ou en cas de changement d'opinion du SPD. En réponse au Président Mladen Petrov Tcherveniakov, il a estimé que contrairement à ses propos, la Bulgarie avait un rôle à jouer dans le débat sur l'énergie nucléaire comme d'autres pays d'Europe centrale confrontés à la menace russe. En outre, il a indiqué que l'attitude de la France se justifiait par le souci d'éviter d'être taxée d'arrogante. Le Président Mladen Petrov Tcherveniakov a convenu qu'il était difficile de parvenir à l'unanimité sur la question de l'énergie nucléaire au sein de l'Union européenne, d'autant que, par exemple, la Constitution de l'Autriche interdit la construction de centrales nucléaires sur son territoire. Cela étant, il a estimé que la Bulgarie et la France devaient s'efforcer, d'une part de viser à ce que l'Union accepte le principe de la possibilité pour chaque Etat membre de définir sa propre politique énergétique, en particulier le choix des différentes sources d'énergie, y compris l'énergie nucléaire et, d'autre part, de faire admettre que l'énergie nucléaire est un moyen nécessaire à la limitation des effets de serre et la lutte contre le changement climatique. Puis le Président Mladen Petrov Tcherveniakov a proposé que les deux délégations puissent procéder à des échanges libres sur d'autres sujets. Le Président Pierre Lequiller a souhaité connaître l'avis de la délégation bulgare sur la situation des Balkans occidentaux et du Kosovo et, en ce qui concerne ce dernier, s'il existe une unanimité au sein de la classe politique bulgare.;positive;02.04.2008
"a précisé que les énergies « alternatives » ne concernaient que les énergies non fossiles, au premier rang desquelles figurent l'énergie photovoltaïque, notamment en vue d'une production centralisée d'électricité, et la biomasse. Dans les deux cas, l'accent est mis sur le développement des techniques de stockage d'énergie. Pour la biomasse, ce stockage s'effectue en augmentant la quantité d'hydrogène dans les chaînes carbonées, à partir d'une production d'hydrogène par électrolyse de masse. Par ailleurs, le CEA participe directement, en liaison avec les constructeurs d'automobiles, au développement des batteries, avec un objectif de production de 100 000 unités en 2011, 250 000 en 2012. Au total, ces efforts devraient conduire à libérer la France de la contrainte d'importation d'énergies fossiles vers le milieu du siècle. S'agissant des bruissements médiatiques autour d'une recomposition de la filière nucléaire, M. Bernard Bigot a constaté qu'ils ne mentionnaient jamais le CEA. En tout état de cause, celui-ci est appelé à demeurer dans son rôle fondamental d'éclairage des pouvoirs publics. La constitution d'une filière nucléaire repose sur la mobilisation de trois acteurs : un maître d'ouvrage, un maître d'oeuvre, un ingénieur ensemblier. Durant la période de construction du parc nucléaire français, jusqu'en 1995, EDF a joué tous ces rôles à la fois, en s'occupant aussi bien du génie civil que du montage de l'îlot nucléaire (un ensemble de 40 000 pièces distinctes fournis par un millier d'entreprises). Au temps le plus fort de cette période, EDF a commandé jusqu'à 17 réacteurs à Framatone. Depuis, EDF s'est replié sur une fonction de maintenance du parc existant, et Areva s'est recentré sur la fourniture de services internationaux, la fonderie de Saint-Marcel devant notamment sa pérennité aux interventions sur les couvercles des cuves des réacteurs américains. La pratique de la conduite des chantiers s'est perdue, et c'est faute d'une réflexion préalable sur les différentes fonctions à mettre en oeuvre que des difficultés sont constatées sur les constructions des EPR. En fait, on distingue quatre types de situations fonctionnelles pour l'implantation d'une centrale nucléaire : le cas où l'électricien est en mesure de piloter tout le chantier de manière intégrée ; le cas où il dispose d'une expérience dans la gestion des centrales nucléaires, mais doit faire appel à un ingénieur ensemblier ; le cas où l'électricien n'a pas d'expérience dans la gestion des centrales nucléaires, et doit faire appel à la fois à un ingénieur ensemblier et à une structure d'exploitation ; le cas où tout est à réaliser à partir d'une pure volonté politique. Ce dernier cas correspond au marché perdu des Emirats arabes unis, où il s'agissait de fournir un service complet, et non pas seulement d'implanter un réacteur. Il convient donc de reconstituer une capacité de réflexion collective pour orienter la démarche du secteur nucléaire français. C'est à l'Etat, actionnaire à divers degrés des différents acteurs concernés, qui englobent GDF Suez, que revient cette tâche de réorganisation. Elle a pour enjeu majeur de permettre à l'industrie nucléaire française de prendre sa part dans le marché du renouveau de l'énergie nucléaire, à savoir la construction de 400 à 450 réacteurs d'ici 2030, dont la moitié au titre du renouvellement des centrales, et 30% à 50% de la moitié d'implantations nouvelles dans des pays dépourvus de toute compétence dans le domaine nucléaire.";positive;09.02.2010
Monsieur Decool, vous avez raison, nous disposons depuis quelques jours de deux rapports extrêmement intéressants. Le premier, celui de la Cour des comptes, indique très clairement que le nucléaire ne recèle pas de coûts cachés et que, même en intégrant tous les coûts de maintenance ou de gestion des déchets à longue durée de vie, le nucléaire reste l'énergie la plus compétitive après l'hydroélectricité. (Applaudissements sur les bancs du groupe UMP.) Le second rapport, celui de la commission indépendante Énergies 2050, nous incite, tout d'abord, à réaliser des économies d'énergie et à accroître notre efficacité énergétique et, ensuite, à réduire notre dépendance aux hydrocarbures, notamment au pétrole et au gaz. Elle indique, en outre, qu'il nous faut développer de façon complémentaire le nucléaire et les énergies renouvelables, conformément aux souhaits exprimés par le Président de la République hier chez Photowatt lorsqu'il a annoncé le rachat de cette entreprise par EDF. En ce qui concerne les différents scénarii testés, vous avez parfaitement résumé la situation. Ce groupe d'experts indépendants indique très clairement que, quels que soient les critères retenus – qu'il s'agisse des émissions de gaz à effet de serre, de la dépendance énergétique ou du prix payé par les consommateurs et par les industriels –, le meilleur scénario est celui de la prolongation de la durée de vie de nos centrales au-delà de quarante ans.;positive;15.02.2012
Je me réjouis des réactions d'EDF à l'ouverture à la concurrence du marché de l'électricité et de son positionnement à l'international. EDF investira autant dans le nucléaire nouveau que dans les énergies renouvelables. Mais quid des investissements nécessaires à la maintenance du parc nucléaire existant ? Je me réjouis que le nucléaire soit de mieux en mieux accepté par la population, son développement, y compris au niveau mondial, n'étant pas exclusif de celui des énergies renouvelables. Je me félicite aussi du rôle joué par EDF dans le mécanisme des certificats d'économies d'énergie, dont nous souhaitons qu'il soit étendu, car il est logique de promouvoir d'abord les économies d'énergie avant de songer à développer des énergies moins polluantes. S'agissant du photovoltaïque, sujet qui me tient à coeur et que je connais bien pour avoir remis un rapport sur le sujet, vous avez mentionné votre partenariat avec First Solar. Cette société travaille plutôt dans la perspective de fermes solaires, alors qu'avec la filière du silicium, voire des futures couches minces cuivre-indium-sélénium, on s'orienterait plutôt vers les panneaux en toiture, ce qui constitue dans notre pays le plus gros potentiel pour le développement du solaire auquel je crois beaucoup. Or, nous sommes très attachés au développement des filières françaises. Comment envisagez-vous l'avenir ? Enfin, que proposez-vous pour la gestion des périodes de consommation de pointe, qui pose un vrai problème ?;positive;16.09.2009
Je remercie les membres de la Commission des affaires culturelles, familiales et sociales de me permettre de m'exprimer alors que j'appartiens à la Commission de la défense nationale et des forces armées. Je me félicite de l'initiative de Mme Christiane Taubira et du groupe socialiste, radical, citoyen et divers gauche et je voudrais redire ici qu'un consensus national existe sur la nécessité d'indemniser les victimes des essais nucléaires de même que l'ensemble des forces politiques françaises a progressivement reconnu, depuis 1978, le bien-fondé de la dissuasion nucléaire, des essais nucléaires ayant été menés par des gouvernements de toutes sensibilités politiques. Reconnaître un droit à indemnisation pour les victimes des essais nucléaires répond à un principe d'équité. Tous les Etats qui ont réalisé des essais nucléaires ont admis qu'ils avaient pu entraîner des conséquences dommageables sur la santé des militaires et des populations habitant à proximité des sites concernés et ont prévu des mécanismes d'indemnisation. Seules la Russie et la Chine n'ont rien prévu en la matière et ce sont d'ailleurs les seuls Etats qui continuent encore à réaliser des essais nucléaires. Il faut se féliciter que le ministère de la défense ait pris l'initiative d'un projet de loi qui vise à instituer un régime d'indemnisation. Il s'agit là d'une véritable révolution dans la pratique du ministère, alors qu'une sorte d'omerta a plané pendant des décennies pour nier les conséquences dommageables des essais. Cependant, si je partage les objectifs poursuivis par la rapporteure, je critique la méthode retenue. En premier lieu, il ne faut pas viser dans un même texte les accidents nucléaires civils qui font déjà l'objet d'un régime juridique d'indemnisation par des conventions internationales (Convention de Paris de 1960 et Convention de Bruxelles de 1963) et par la loi du 30 octobre 1968 relative à la responsabilité civile dans le domaine de l'énergie nucléaire, et les conséquences des essais nucléaires militaires qui n'ont jamais fait l'objet d'un texte de loi. Par ailleurs, affirmer le principe de présomption de lien de causalité entre les pathologies radio-induites et les essais nucléaires n'a aucun sens au plan juridique. L'essentiel est de poser le principe d'un droit à l'indemnisation pour les victimes de ces essais, la commission nationale de suivi des essais nucléaires ayant pour mission de déterminer quels sont les bénéficiaires potentiels de ce régime d'indemnisation en reprenant le cas échéant les critères retenus par les pays étrangers comme les États-Unis ou le Canada. Seuls des scientifiques peuvent en effet déterminer les populations qui ont pu être exposées à des risques d'irradiation selon leurs conditions de vie au moment de la réalisation des essais nucléaires. Le texte devrait ensuite définir la composition et les ressources du fonds d'indemnisation des victimes des essais nucléaires en prévoyant une représentation des parlementaires et des associations de victimes. Il reste maintenant à déterminer s'il est préférable d'attendre que le gouvernement présente au début de l'année prochaine son projet de loi, dont je n'ai pas eu connaissance ou de retravailler le texte d'une proposition de loi courte qui reprendrait les trois points que j'ai évoqués et se limiterait à la seule indemnisation des victimes des essais nucléaires militaires.;neutral;19.11.2008
Monsieur le ministre chargé de l'industrie, de l'énergie et de l'économie numérique, mi-octobre 2011, vous avez demandé à un groupe d'experts d'animer une commission pluraliste et ouverte, afin de mener une analyse des différents scénarios de politique énergétique pour la France à l'horizon 2050. Plus de quatre-vingts organismes ont été auditionnés. Dans le rapport remis ce lundi au Gouvernement, la conclusion des membres de la commission Énergies 2050 est sans équivoque : « Prolonger la durée de vie des centrales nucléaires françaises est la meilleure solution pour résoudre les défis énergétiques qui se posent au pays ». Selon ce rapport, la France doit donc « s'interdire toute fermeture d'une centrale nucléaire n'ayant pas été décidée pour des raisons de sûreté. » En effet, des fermetures prématurées entraîneraient irrémédiablement une hausse importante des prix de l'électricité et des émissions de CO2, tout en détruisant jusqu'à 150 000 emplois en France. Ces experts dressent un tableau alarmant des conséquences qu'aurait une réduction de la part du nucléaire dans la production d'électricité de 75 % à 50 % vers 2030, telle qu'elle a été prônée dans le cadre de certains marchandages politiciens. En mai dernier, lors de sa visite à la centrale nucléaire de Gravelines, le Président de la République s'est engagé à continuer d'investir dans le nucléaire civil, à la grande satisfaction des agents d'EDF et des syndicats. Les recommandations émises par ces experts confortent aujourd'hui notre engagement en faveur de l'énergie nucléaire en France, et ce ne sont pas les 4 200 travailleurs directs et indirects de la centrale de Gravelines qui s'en plaindront. Dois-je rappeler qu'aujourd'hui, en France, 400 000 personnes travaillent dans notre filière nucléaire ? Monsieur le ministre, suite au rapport de la commission Énergies 2050, pouvez-vous préciser quelle politique énergétique compte conduire la majorité actuelle dans les prochaines années ? (Applaudissements sur les bancs du groupe UMP.);positive;15.02.2012
En matière d'énergies renouvelables, la France ne doit pas s'appliquer à elle-même ce que la Commission européenne lui fait parfois subir en matière d'énergie : il y a une directive européenne qui impose à tout le monde le même système énergétique alors qu'en réalité, nous disposons, sur le territoire continental, d'un mix énergétique tout à fait particulier, avec une énergie nucléaire qui produit 80 % de ce que nous consommons. À ce titre, nous ne pouvons pas avoir la même approche en France qu'en Allemagne en matière d'énergies renouvelables. Or, l'outre-mer ne dispose pas d'énergie nucléaire. Dès lors, pourquoi appliquer le même coup de rabot à l'outre-mer qu'au continent en matière d'énergies renouvelables ? Cela n'est pas défendable. Madame la ministre, vous avez indiqué le 5 octobre, me semble-t-il, que l'effort de l'outre-mer s'élevait à 230 millions d'euros sur la niche fiscale en faveur de la production d'énergie photovoltaïque, en disant que cet effort était proportionné et juste. Ce dernier terme vous appartient. Proportionné, sûrement. Mais je le conteste car si l'on veut appliquer, en matière d'énergie, les mêmes règles dans les départements et territoires d'outre-mer qu'en métropole, on se trompe dans la mesure où le mix énergétique n'est pas du tout le même. Il me semble que l'on devrait reconsidérer la position relative à l'énergie photovoltaïque et l'énergie renouvelable, en général, en outre-mer, à l'aune du fait que le mix énergétique outre-mer n'a rien à voir avec celui du continent.;positive;20.10.2010
En matière d'énergies renouvelables, la France ne doit pas s'appliquer à elle-même ce que la Commission européenne lui fait parfois subir en matière d'énergie : il y a une directive européenne qui impose à tout le monde le même système énergétique alors qu'en réalité, nous disposons, sur le territoire continental, d'un mix énergétique tout à fait particulier, avec une énergie nucléaire qui produit 80 % de ce que nous consommons. A ce titre, nous ne pouvons pas avoir la même approche en France qu'en Allemagne en matière d'énergies renouvelables. Or, l'outre-mer ne dispose pas d'énergie nucléaire. Dès lors, pourquoi appliquer le même coup de rabot à l'outre-mer qu'au continent en matière d'énergies renouvelables ? Cela n'est pas défendable. Madame la ministre, vous avez indiqué le 5 octobre, me semble-t-il, que l'effort de l'outre-mer s'élevait à 230 millions d'euros sur la niche fiscale en faveur de la production d'énergie photovoltaïque, en disant que cet effort était proportionné et juste. Ce dernier terme vous appartient. Proportionné, sûrement. Mais je le conteste car si l'on veut appliquer, en matière d'énergie, les mêmes règles dans les départements et territoires d'outre-mer qu'en métropole, on se trompe dans la mesure où le mix énergétique n'est pas du tout le même. Il me semble que l'on devrait reconsidérer la position relative à l'énergie photovoltaïque et l'énergie renouvelable, en général, en outre-mer, à l'aune du fait que le mix énergétique outre-mer n'a rien à voir avec celui du continent.;positive;20.10.2010
"a salué cette deuxième occasion pour l'Office d'évaluation des choix scientifiques et technologiques d'accueillir l'ASN lors de la présentation du rapport annuel d'activité de cette institution qui occupe une place remarquable au sein du paysage institutionnel français. Il s'agit en effet d'une autorité administrative indépendante dont le statut garantit l'absolue intégrité de ses missions de contrôle ; cette situation institutionnelle est le résultat d'un long processus d'adaptation que l'Office parlementaire a voulu et a accompagné depuis 1990 avec une série de vingt-quatre rapports consacrés aux questions de sûreté nucléaire. Cette instance a, par ailleurs, la responsabilité très lourde du contrôle de la sûreté nucléaire sur tous les éléments de la chaîne d'exploitation des matières radioactives non seulement comme source d'énergie, condition essentielle de l'indépendance énergétique de notre pays, mais aussi comme instrument de soins médiaux. De ce point de vue, l'Office parlementaire s'est réjoui d'avoir vu se concrétiser l'idée soutenue de longue date que l'Autorité de sûreté nucléaire voit ses compétences de contrôle étendues aux activités de radiologie. Il est en effet essentiel que tout le capital culturel d'éveil permanent à la vigilance et à la prudence qui s'est constitué au fil des années dans le monde de l'industrie nucléaire, intégrant un suivi très précis des conditions de travail des personnels, puisse bénéficier au monde de la médecine nucléaire et aussi au monde de la recherche.";positive;07.04.2009
