Text	Date
Le texte de cette question sera publié dès sa transmission par le Journal Officiel. Dans cette attente, vous pouvez vous reporter aux vidéos de la rubrique « Questions au Gouvernement » accessible depuis lanotice électroniquedu Sénateur auteur de la question.	14.11.2014
M. Charles Revet attire l'attention de M. le ministre de l'économie, de l'industrie et du numérique sur la situation de l'industrie cimentière en matière de coût de l'électricité, dont l'impact est majeur pour cette filière (il représente environ 20 % de ses coûts). Historiquement, le prix de l'électricité en France était un facteur majeur de la compétitivité de l'industrie. Ce n'est malheureusement plus le cas : de nombreux pays disposent de prix de l'électricité plus compétitifs qu'en France, que ce soit en Europe (l'Allemagne propose des coûts de l'électricité inférieurs de près de 30 % à ceux pratiqués en France pour ce segment de consommation), mais également hors d'Europe (aux États-Unis par exemple). Les professionnels de la filière, aujourd'hui en situation de surcapacité et faisant face à des importations massives, sont particulièrement touchés par l'évolution des différents éléments de leur facture en cours. En dehors du coût du transport de l'électricité (25 % de la facture) que le projet de loi n° 16 (Sénat, 2014-2015) relatif à la transition énergétique pour la croissance verte semble faire évoluer dans le bon sens, le Gouvernement et la commission de régulation de l'énergie (CRE) annoncent une hausse substantielle de l'accès régulé à l'électricité nucléaire historique (ARENH) dès 2015 (70 % de la facture). Quant à la contribution au service public de l'électricité (CSPE) (5 % de la facture), la Commission européenne a lancé une enquête contre la France, et les hausses de cette contribution pourraient être fatales à cette filière de production en France. Aussi, il souhaiterait savoir ce que le Gouvernement entend mettre en œuvre pour maintenir durablement la compétitivité de l'industrie cimentière dans ce domaine.	25.12.2014
Mme Marie-Noëlle Lienemann attire l'attention de M. le ministre de l'économie, des finances et de la relance sur la situation des constructions navales et industrielles de la Méditerranée (CNIM) dans le bassin de La Seyne-sur-Mer. CNIM est un des plus gros employeurs du Var. Il connaît d'importantes difficultés depuis 2019 et la défaillance d'un de ses partenaires britanniques. Fondé en 1856, le groupe héritier des chantiers navals de La Seyne-sur-Mer intervient aujourd'hui dans les domaines de l'environnement, de l'armement, de l'énergie ou des hautes technologies, comme l'illustre sa participation au programme spatial Ariane ou à celui de recherche nucléaire Iter. Il est détenteur de brevets qui attisent bien des convoitises. Le groupe compte 2 613 salariés, dont 1 200 sont basés sur l'aire seynoise. Il a aujourd'hui la volonté de séparer les deux secteurs d'activité « innovation & systèmes » et « environnement & énergie ». Cette situation représente un grave risque de « vente à la découpe ». La branche « environnement » serait ainsi en passe d'être cédée à une société chinoise. Les offres doivent être remises dans les prochains jours pour un dépouillement d'ici la fin de l'année 2020. 35 millions d'euros doivent être mis à disposition de la société par ses banques pour une durée de 12 mois (prorogeable deux fois pour 6 mois supplémentaires). L'État s'est engagé, lui, à un prêt d'un montant maximum de 8,7 millions d'euros – qui s'ajoutent aux 3 millions déjà accordés en mars dans l'attente de la vente du siège parisien du groupe. Or ce point est un sujet d'inquiétude, car si le protocole permet « d'éviter le dépôt de bilan », il comporte des « conditions très exigeantes » : CNIM devra rembourser plus de 43 millions (les prêts bancaires et celui de l'État) en douze mois, alors que le bénéfice net sur les six dernières années était en moyenne de 30 millions par an. L'effet de ciseau qui en découlerait risque d'être fatal. Il y a un risque fort que les banques imposent au groupe CNIM et à ses salariés des investisseurs de leur choix pour changer la majorité au capital du groupe. Ces nouveaux investisseurs risquent de découper les activités et ne garderont que celles qui jugeront les plus performantes. C'est une casse sociale à moyen terme est à craindre. Elle lui demande donc quelles mesures compte prendre le Gouvernement pour éviter la « vente à la découpe » du groupe et le maintien d'activités stratégiques et participant à la transition écologique sous pavillon français. Elle demande également si l'État peut s'engager à un prêt de 50 millions remboursables en 5 à 10 ans, ce qui permettrait à la fois à l'entreprise de rembourser les banques et à sécuriser la composition de l'actionnariat. Dans cette même logique, elle lui demande que le Gouvernement s'engage à une prise de participation partielle – temporaire le cas échéant – au capital de CNIM, ce qui permettrait au groupe de rétablir à moyen et long terme la situation financière, de garder l'intégralité des activités, de préserver les emplois et de garantir la maîtrise sous pavillon français d'activités industrielles stratégiques.	17.12.2020
M. Patrice Joly attire l'attention de Mme la ministre de l'enseignement supérieur, de la recherche et de l'innovation sur la fermeture programmée du brevet de technicien supérieur (BTS) contrôle industriel et régulation automatique (CIRA) au lycée Jules Renard de Nevers. À la suite de cette annonce brutale et de la fermeture des inscriptions pour la rentrée prochaine sur la plateforme Parcoursup, l'incompréhension et la colère dominent chez les parents d'élèves, les élus et les entreprises du bassin neversois. À ce jour, aucune concertation ne semble avoir été menée avec l'établissement, ni avec les représentants des apprenants et encore moins avec le monde de l'entreprise quant à cette suppression. Pourtant, ce processus essentiel doit être engagé pour permettre de réunir les acteurs de cette filière et proposer des solutions concrètes et éclairées aux élèves et à leurs familles. Même si une évolution régulière de la carte scolaire est nécessaire, la fermeture de cette filière d'enseignement supérieure de proximité à Nevers vient porter un coup dur à la jeunesse de ce territoire déjà frappé par les contraintes de la période actuelle. Ils seront désormais contraints de s'inscrire dans les BTS proposés à Dijon et dans d'autres régions plus éloignées fermant ainsi la porte à de nombreux jeunes ne pouvant prendre en charge les frais de mobilité. Il est également à noter que cette formation post-baccalauréat de proximité ne connait aujourd'hui aucun problème de recrutement et permet à des jeunes issus de milieux sociaux défavorisés d'accéder à des études post-baccalauréat et ainsi de s'insérer plus facilement dans le monde professionnel. Cette formation offre de nombreux débouchés dans une grande variété de secteurs industriels : nucléaire, énergie, chimie-pétrole, agro-alimentaire, aéronautique et spatiale, navale et ferroviaire, bâtiment et travaux publics, etc. Enfin, cette décision est tristement dommageable pour les étudiants eux-mêmes mais aussi pour le tissu industriel local qui justifie sans conteste la présence d'un BTS CIRA. Dans la Nièvre, les grandes industries de la chimie ou de l'énergie et celles de la transformation (technicentre SNCF de Varennes-Vauzelles, centrale de Belleville, circuit de Magny-Cours, Solvay, Aperam, centre Pharma, cimenterie...) accueillent les étudiants non seulement à l'embauche, mais leur proposent aussi des formations complémentaires liées à leurs spécificités. C'est une chance et une opportunité pour tous. C'est pourquoi il demande au Gouvernement de bien vouloir faire réexaminer cette décision et de maintenir ce BTS au sein du lycée Jules Renard de Nevers.	10.03.2022
M. Patrice Joly attire l'attention de Mme la ministre de l'enseignement supérieur et de la recherche sur la fermeture programmée du brevet de technicien supérieur (BTS) contrôle industriel et régulation automatique (CIRA) au lycée Jules Renard de Nevers. À la suite de cette annonce brutale et de la fermeture des inscriptions pour la rentrée prochaine sur la plateforme Parcoursup, l'incompréhension et la colère dominent chez les parents d'élèves, les élus et les entreprises du bassin neversois. À ce jour, aucune concertation ne semble avoir été menée avec l'établissement, ni avec les représentants des apprenants et encore moins avec le monde de l'entreprise quant à cette suppression. Pourtant, ce processus essentiel doit être engagé pour permettre de réunir les acteurs de cette filière et proposer des solutions concrètes et éclairées aux élèves et à leurs familles. Même si une évolution régulière de la carte scolaire est nécessaire, la fermeture de cette filière d'enseignement supérieure de proximité à Nevers vient porter un coup dur à la jeunesse de ce territoire déjà frappé par les contraintes de la période actuelle. Ils seront désormais contraints de s'inscrire dans les BTS proposés à Dijon et dans d'autres régions plus éloignées fermant ainsi la porte à de nombreux jeunes ne pouvant prendre en charge les frais de mobilité. Il est également à noter que cette formation post-baccalauréat de proximité ne connait aujourd'hui aucun problème de recrutement et permet à des jeunes issus de milieux sociaux défavorisés d'accéder à des études post-baccalauréat et ainsi de s'insérer plus facilement dans le monde professionnel. Cette formation offre de nombreux débouchés dans une grande variété de secteurs industriels : nucléaire, énergie, chimie-pétrole, agro-alimentaire, aéronautique et spatiale, navale et ferroviaire, bâtiment et travaux publics, etc. Enfin, cette décision est tristement dommageable pour les étudiants eux-mêmes mais aussi pour le tissu industriel local qui justifie sans conteste la présence d'un BTS CIRA. Dans la Nièvre, les grandes industries de la chimie ou de l'énergie et celles de la transformation (technicentre SNCF de Varennes-Vauzelles, centrale de Belleville, circuit de Magny-Cours, Solvay, Aperam, centre Pharma, cimenterie...) accueillent les étudiants non seulement à l'embauche, mais leur proposent aussi des formations complémentaires liées à leurs spécificités. C'est une chance et une opportunité pour tous. C'est pourquoi il demande au Gouvernement de bien vouloir faire réexaminer cette décision et de maintenir ce BTS au sein du lycée Jules Renard de Nevers.	14.07.2022
Mme Catherine Belrhiti attire l'attention de Mme la ministre déléguée auprès du ministre de l'intérieur et des outre-mer et du ministre de la transition écologique et de la cohésion des territoires, chargée des collectivités territoriales sur les conséquences de plus en plus importantes, pour les collectivités, de la hausse des prix de l'énergie. Déjà sensible depuis l'automne 2021, cette hausse a pris de plus fortes proportions encore depuis le début du conflit russo-ukrainien, si bien qu'à l'instar des particuliers, de nombreuses collectivités voient leurs factures multipliées par deux, voire quatre. Un grand nombre de leurs équipements sont touchés (salles municipales, piscines, locaux techniques ou foyers sociaux), et l'exécution des marchés publics devient de plus en plus complexe. Cette situation rend les marges de manœuvre financière des collectivités, déjà réduites depuis plusieurs années, encore plus contraintes. Des communes sont placées, à contre-cœur, devant la nécessité soit de réduire la durée ou l'intensité de leur chauffage, soit d'augmenter la fiscalité sur des particuliers déjà eux-mêmes touchés par ce fléau. Dans ce contexte, les associations d'élus s'inquiètent de hausses qui entraveraient à la fois les capacités d'investissement mais qui aussi le bon fonctionnement des services publics. Face à l'urgence des enjeux pour le prochain hiver, et en attendant que les collectivités aient engagé leur transition énergétique, l'État doit offrir des solutions crédibles aux collectivités qui assument des missions de service public indispensables. La délégation aux collectivités territoriales du Sénat, qui a récemment lancé une table ronde sur le sujet, a proposé que face à ces contraintes budgétaires qui sont manifestement appelées à durer, un bouclier énergétique soit mis en place afin que les prix de vente de l'énergie aux collectivités puissent être contenus dans des limites acceptables. D'autres pistes sont à étudier. À titre d'exemples, l'augmentation du volume de l'accès régulé à l'électricité nucléaire historique (ARENH) produite à prix fixe par EDF et son fléchage vers les collectivités, mais aussi le retour de tarifs réglementés pour les usages essentiels, constitueraient des moyens efficaces de soulager les collectivités. Elle lui demande de préciser les intentions du Gouvernement à ce sujet.	21.07.2022
M. Jean Louis Masson attire l'attention de M. le ministre d'État, ministre de l'écologie, du développement et de l'aménagement durables sur le fait qu'à la suite des élections législatives, toutes les questions écrites qui avaient été posées sous la précédente législature et qui n'avaient pas encore obtenu de réponse ont été déclarées caduques. Il lui pose donc à nouveau la question qui avait été adressée à son prédécesseur le 18 janvier 2007 et à laquelle celui-ci n'avait pas répondu. Plus précisément, il attire son attention sur le fait que les éoliennes perturbent parfois la transmission des ondes hertziennes de télévision. C'est notamment le cas lorsque ces éoliennes se trouvent entre l'antenne émettrice et les zones urbanisées. Il est ainsi arrivé à Téterchen en Moselle qu'après constat de la gêne subie par les habitants de Dalem, l'installateur des éoliennes ait été obligé d'arrêter le fonctionnement de celles-ci jusqu'à la mise en œuvre d'une solution technique alternative. Cependant, dans le cas d'un autre parc éolien, en l'espèce celui construit à Momestroff, des nuisances du même type ont été constatées au détriment des habitants de Narbéfontaine. La société gérant les éoliennes a alors installé des paraboles sur le toit des maisons mais les habitants sont depuis lors, privés de la chaîne régionale de France 3 et des émissions locales de télé Luxembourg. Le CSA et l'Agence nationale des fréquences ont été saisis mais cette dernière prétend qu'il n'y a pas d'autres canaux disponibles. En raison des éoliennes, les habitants de Narbéfontaine sont donc privés de deux chaînes de télévision de proximité. Cette situation est inacceptable car la mise en service d'une éolienne ne doit théoriquement être autorisée qu'en l'absence de nuisances pour le voisinage. Dans ces conditions, il souhaiterait qu'elle lui indique si la commune de Narbéfontaine est en droit de faire interdire le fonctionnement des éoliennes jusqu'à la mise en œuvre d'une solution technique complète et définitive. Le cas échéant, il souhaiterait savoir quelle est l'autorité administrative ayant le devoir de prendre les mesures de coercition adéquates à l'encontre de l'opérateur éolien.	30.08.2007
M. Jean Louis Masson attire l'attention de M. le ministre de l'équipement, des transports, de l'aménagement du territoire, du tourisme et de la mer sur le fait que de nombreuses éoliennes sont implantées actuellement afin de produire de l'électricité. Or elles sont très hautes et créent de l'ombre sur les parcelles voisines, la rotation des pales générant même un effet stroboscopique gênant pour le voisinage. Il souhaiterait qu'il lui indique s'il ne pense pas qu'il conviendrait de prévoir une indemnisation au profit des parcelles voisines et notamment des parcelles concernées par l'ombre projetée de l'éolienne.	17.02.2005
Mme Corinne Imbert attire l'attention de M. le secrétaire d'État, auprès de la ministre de l'écologie, du développement durable et de l'énergie, chargé des transports, de la mer et de la pêche sur l'utilisation de drones en zone sensible. En effet, malgré la règlementation en vigueur introduite par deux arrêtés du 11 avril 2012 relatifs aux conditions d'insertion dans l'espace aérien et aux conditions d'utilisation de drones, de nombreux survols de zones sensibles sont à dénombrer. Le dernier épisode en date est le survol du site pétrochimique LyondellBasell de Fos-sur-Mer dans le département des Bouches-du-Rhône, dont l'entreprise a, elle-même, récemment été visée par un incendie présumé volontaire de ses cuves sur le site de Berre-L'Etang. Le renforcement de la présence et de l'utilisation de drones constitue donc un nouveau défi, en termes de contrôle et de gestion de l'espace aérien, et représente, par conséquent, un véritable enjeu en matière de sécurité publique et de protection de la vie privée et des structures sensibles. Au regard des violations incessantes des règlementations en vigueur, la réponse du Gouvernement semble ne plus être adaptée à l'évolution de ce produit issu de l'innovation technologique et accessible au grand public. Aussi lui demande-t-elle quelles mesures le Gouvernement entend prendre, afin de renforcer le contrôle et l'encadrement des vols de drone et à quelle échéance.	20.08.2015
M. Philippe Richert attire l'attention de M. le ministre d'État, ministre de l'écologie, du développement et de l'aménagement durables sur une collaboration entre la France et le Japon en matière d'environnement. En effet, la France et le Japon sont les plus faibles producteurs de dioxyde de carbone au monde et il convient d'encourager les autres pays à en faire de même. En ce qui concerne la réforme des modes de vie, le Japon a entrepris un certain nombre d'initiatives, telles que des actions pour réduire les émissions de gaz à effet de serre en développant le mouvement national appelé « Team Minus 6 % », encourageant la population à adopter de nouveaux comportements plus écologiques (réglage de la climatisation et du chauffage, économies d'eau, utilisation de produits écologiques, conduite responsable au volant, diminution des sacs d'emballages pour les courses). S'agissant de la gestion des déchets, le concept « mottainai », qui résume l'idée d'une société de recyclage, est inscrit en profondeur dans la tradition japonaise. Il est notamment retrouvé dans le principe des 3R (réduction – réutilisation – recyclage). Le recyclage thermique utilisant la chaleur produite par l'incinération des déchets est également employé. Par ailleurs, le Japon est attaché à l'évolution et à la promotion des technologies innovantes pour la préservation de la planète, et étudie le projet de développement de batteries rapidement rechargeables qui pourrait rendre possible l'utilisation d'une voiture électrique performante. Enfin, en ce qui concerne la lutte contre le changement climatique, le Japon estime qu'elle implique un effort à l'échelle mondiale qui doit aussi concerner les principaux pays émetteurs n'ayant pas d'engagement de réduction de leurs émissions dans le Protocole de Kyoto comme les Etats-Unis, la Chine ou l'Inde ; l'idée étant d'aboutir à un consensus international sur un cadre pour l'après 2012 permettant à tous les pays de pouvoir s'engager. C'est pourquoi l'année 2008, qui marque le 150ème anniversaire de l'établissement des relations diplomatiques entre la France et le Japon, serait l'occasion de conjuguer les efforts des deux pays afin d'aider l'ensemble des pays en développement à ce que leur essor économique soit compatible avec la protection de l'environnement. Il le remercie de bien vouloir lui donner son avis sur la question.	24.01.2008
