filtered_text;date
"Wie man von Laufzeiten von 60 Jahren reden kann, entzieht sich meiner Rechenkunst angesichts der Tatsache, dass das älteste Atomkraftwerk Calder Hall, das 1956 in Betrieb genommen wurde, in der Zwischenzeit abgeschaltet worden ist und dass somit seine Laufzeit nicht annähernd diesen Wert erreicht. Er halte es für falsch, dass Deutschland aus der Atomkraft aussteigen wolle. Es sei absurd, wenn Atommeiler, die technisch weiter betrieben werden könnten, „aus ideologischen Gründen“ vom Netz genommen werden sollten … Er sei optimistisch, dass es nicht dazu kommen werde, dass Atomkraftwerke bereits in dieser Legislaturperiode abgeschaltet werden würden, fügte der Minister hinzu. Ich sage Ihnen: Auch wirtschaftlich rechnet sich Atomkraft nicht. Der Vorschlag von Pinkwart, ein neues Atomkraftwerk zu bauen, ist absurd, ein energiepolitischer Irrweg und haushaltspolitisch unverantwortlich. (Beifall beim BÜNDNIS 90/DIE GRÜNEN sowie bei Abgeordneten der SPD) Ich mache das an dem Typ Atomkraftwerk deutlich, den Pinkwart gefordert hat, nämlich an dem Hochtemperaturreaktor, Typ Pinkwart, den wir in Nordrhein-Westfahlen, in Hamm-Uentrop, schon einmal hatten: Baukosten 2 Milliarden DM, Gesamtkosten inklusive aller Entsorgungskosten – so ist es den Zeitungen zu entnehmen – 5 Milliarden DM. Es bleibt dabei: Atomkraftfreunde sind Monopolfreunde. Jetzt sind die Stromrechnungen aber hoch, obwohl die deutschen Atomkraftwerke mit voller Last laufen. Mehr Atomkraft als im Augenblick hat es in der Geschichte der Bundesrepublik noch nie gegeben. In dem Bundesland, in dem es den höchsten Anteil an der Atomkraft gibt, nämlich in Baden-Württemberg, sind die Stromrechnungen am höchsten. Hierzu gibt es zudem einen besonderen Aspekt: Die Atomkraftwerke in Deutschland werden von den vier Energiemonopolisten betrieben, die zusammen einen Anteil von 90 Prozent am Markt haben. Wer die Debatte über längere Laufzeiten führt und die Atomkraftwerke wirklich länger laufen lässt – für den gilt das ganz besonders –, der gibt nur ein einziges Signal an den Markt: Liebe Wettbewerber, in Deutschland lohnt es sich für euch nicht, zu investieren, weil wir beschlossen haben, vom Steuerzahler subventionierte Kraftwerke am goldenen Ende weiterhin hoch subventioniert – Versicherungsbereich, Endlager und Ähnliches – weiterlaufen zu lassen. Damit soll meines Erachtens auch Stimmung für die Atomkraft gemacht werden. Es geht um Atomkraft und Milliarden! Die Liebe der baden-württembergischen Landesregierung zur Atomkraft ist mir wohl vertraut. Wie auch, konterkarieren solche taktlosen Vorstöße doch geradezu die sorgsam ausgeklügelte Strategie zur Akzeptanz der Atomkraft, mit der die Union den Konzernen unter die Arme greifen will. Das Spielchen zwischen SPD und Union, das seinen Beginn mit der für einen Koalitionsvertrag ungewöhnlichen Aussage nahm, Frau Dött, dass die Haltung der Koalitionäre zur Atomkraft unterschiedlich sei, schauen wir uns nun seit acht Monaten an. Aber ich will Ihnen einmal eines sagen, verehrte Kolleginnen und Kollegen von der Union: Angesichts Ihres Dissonanzkonzertes – Frau Gönner und der baden-württembergische Ministerpräsident Oettinger wollen mit der Aufkündigung des Atomausstiegs die erneuerbaren Energien fördern; Bundeswirtschaftsminister Glos will Braunkohle und Atomkraft aufrechterhalten und die Sinnhaftigkeit der Förderung der erneuerbaren Energien überprüfen lassen; der Kollege Schulte-Drüggelte sagte in der Haushaltsdebatte in der letzten Woche auf Nachfrage, dass seine Aussage, wir könnten auf die Kernenergie vorerst nicht verzichten, mit dem bis 2020 währenden Atomausstieg konform gehe; irgendwer muss den Koalitionsvertrag ja wachen Sinnes unterschrieben haben – sind wir Grünen ein harmoniesüchtiger Haufen. Dieser antwortete auf die Frage, ob NRW neue Atomkraftwerke oder zumindest eine Verlängerung der Laufzeiten benötige, wie folgt: „Neue Kernkraftwerke will hier keiner bauen. Die neueste Variante ist der so genannte Ringtausch der Reststrommengen des nicht in Betrieb genommenen Atomkraftwerks Mülheim-Kärlich. Diese sollen nun fröhlich von einem Atomkraftwerk auf das nächste übertragen werden, bis sie schließlich bei den alten Meilern landen. Das einzige Ziel dieser Vorstöße ist es, die in dieser Legislaturperiode zur Abschaltung anstehenden Atomkraftwerke über die nächste Bundestagswahl zu retten – in der Hoffnung auf atomfreundliche Mehrheiten. (Beifall bei der SPD sowie bei Abgeordneten des BÜNDNISSES 90/DIE GRÜNEN – CarlLudwig Thiele [FDP]: Kommt die denn schon so schnell?) Zwei Probleme haben all diejenigen, die die Laufzeiten verlängern oder neue Atomkraftwerke bauen möchten: den Koalitionsvertrag zwischen Union und SPD und das Atomgesetz. Nur zur Erinnerung: Das Atomgesetz in seiner zurzeit geltenden Fassung untersagt den Neubau von Atomkraftwerken, ordnet den deutschen Atomkraftwerken fest definierte Reststrommengen bis zur Abschaltung zu und regelt die Möglichkeiten der Energiekonzerne, Reststrommengen zwischen unterschiedlichen Reaktoren zu übertragen. Für die SPD- Bundestagsfraktion ist klar: Eine Übertragung von Reststrommengen von neuen Atomkraftwerken auf alte Atomkraftwerke lehnen wir ab. „Atomkraft – ja bitte?“ fragte die „Rheinische Post“. Klar ist derzeit nur, dass in NRW, seit Jürgen Rüttgers das Land regiert, das Thema Atomkraft ständig durch die Gazetten spukt. Die NRW-CDU plant, wie ich gehört habe, auf ihrem Landesparteitag im September ein klares Bekenntnis zur Atomkraft abzugeben. (Ulrike Flach [FDP]: Da ist Herr Pinkwart ganz Ihrer Meinung!) Also, zum Abschluss noch einmal ganz deutlich und langsam für alle, die es noch nicht verstanden haben: Herr Pinkwart und andere Mitglieder der schwarz-gelben Landesregierung können noch so häufig gebetsmühlenartig wiederholen: Atomkraft – ja bitte! Wir bleiben bei unserer Position: Atomkraft – nein danke! Öffentlich wird immer thematisiert, wer Atomkraftwerke baut. Dazu sage ich Ihnen: Der Bau von Atomkraftwerken in Finnland funktioniert nur, weil eine bayerische Bank die Zinsen subventioniert – und dies zulasten ihrer Kreditnehmer; denn die zahlen deshalb höhere Zinsen. Wir haben ähnliche Äußerungen von anderen Politikerinnen und Politikern in diesem Lande gehört, die immer den Zweck erfüllen sollen, ein wenig in dem Sinne nachzubohren: Was ist in dieser Debatte möglich im Hinblick auf neue Atomkraftwerke und eine Laufzeitenverlängerung? Das ist immer im Hinterkopf zu behalten, wenn wir über die Kosten der Atomkraft, die ja so billig ist, reden. Ich möchte zum Schluss noch auf die Frage zu sprechen kommen: Welche Zukunft hat die Atomkraft? Wenn all diese Atomkraftwerke wirklich gebaut werden, haben wir ganz schnell auch kein Natururan mehr. Dann können wir ganz schnell alle Atomkraftwerke, die darauf bauen, abschalten. (Beifall bei Abgeordneten der SPD – Franz Obermeier [CDU/CSU]: Wo ist die Quelle?) Übrigens: Öl durch Atomkraft zu ersetzen, das müssen Sie mir einmal vormachen. Es hat schon einmal ein Ministerpräsident im Zusammenhang mit dem Anstieg der Spritpreise gemeint, es müsse nur die Atomkraft ausgebaut werden, um das in den Griff zu bekommen. Zum Schluss zur Nachhaltigkeit: Das Nachhaltigste an der Atomkraft ist, dass wir damit unseren Kindern und Kindeskindern, die niemals eine Chance hatten, darüber zu bestimmen, ob sie Atomkraftwerke haben wollen oder nicht, Müll hinterlassen, der Hunderttausende von Jahren strahlt.";28.06.2006
Uschi Eid, weiterer Abgeordneter und der Fraktion des BÜNDNISSES 90/DIE GRÜNEN: Eine Weltbank-Energiepolitik der Zukunft – Ja zu mehr Effizienz und erneuerbaren Energien, Nein zur Atomkraft (Drucksache 16/1978) . Uschi Eid, weiterer Abgeordneter und der Fraktion des BÜNDNISSES 90/DIE GRÜNEN Eine Weltbank-Energiepolitik der Zukunft – Ja zu mehr Effizienz und erneuerbaren Energien, Nein zur Atomkraft – Drucksache 16/1978 – Überweisungsvorschlag: Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung (f) Ausschuss für Gesundheit Ausschuss für Umwelt, Naturschutz und Reaktorsicherheit c) Beratung des Antrags der Abgeordneten Hans-Christian Ströbele, Volker Beck (Köln), Monika Lazar und der Fraktion des BÜNDNISSES 90/DIE GRÜNEN Befragung von Gefolterten und Nutzung von Foltererkenntnissen ausschließen – Drucksache 16/836 – Überweisungsvorschlag: Innenausschuss (f) Auswärtiger Ausschuss Rechtsausschuss Ausschuss für Menschenrechte und Humanitäre Hilfe d) Beratung des Antrags der Abgeordneten Thilo Hoppe, Hans Christian Ströbele und der Fraktion des BÜNDNISSES 90/ DIE GRÜNEN Indigene Völker – Ratifizierung des Übereinkommens der Internationalen Arbeitsorganisation (IAO) Nr. So wie in der Energiepolitik niemand ernsthaft glaubt, den Strombedarf der Bundesrepublik ganz ohne Atomkraftwerke decken zu können, gibt es auch in der gesundheitspolitischen Fachwelt niemanden, der wirklich glaubt, gänzlich auf Kassenärztliche Vereinigungen verzichten zu können, (Fritz Kuhn [BÜNDNIS 90/DIE GRÜNEN]: Wie kommen Sie auf den Blödsinn?) höchstens Lobbygruppen, Herr Kuhn, die sich erhebliche Vorteile von ihrer Monopolstellung im System versprechen. (Wolfgang Zöller [CDU/CSU]: Sie machen beim Zuhören Fehler!) Frau Widmann-Mauz, wenn Sie das gleich mit einem Bekenntnis zur Atomkraft verbinden, kann man dazu nur sagen: Sie haben eine Vorliebe für Dinosaurier, zeigen aber keine Reformbereitschaft. Uschi Eid, weiterer Abgeordneter und der Fraktion des BÜNDNISSES 90/DIE GRÜNEN Eine Weltbank-Energiepolitik der Zukunft – Ja zu mehr Effizienz und erneuerbaren Energien, Nein zur Atomkraft – Drucksache 16/1978 – Überweisungsvorschlag: Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung (f) Ausschuss für Gesundheit Ausschuss für Umwelt, Naturschutz und Reaktorsicherheit c) Beratung des Antrags der Abgeordneten Hans Christian Ströbele, Volker Beck (Köln), Monika Lazar und der Fraktion des BÜNDNISSES 90/ DIE GRÜNEN Befragung von Gefolterten und Nutzung von Foltererkenntnissen ausschließen – Drucksache 16/836 – Überweisungsvorschlag: Innenausschuss (f) Auswärtiger Ausschuss Rechtsausschuss Ausschuss für Menschenrechte und Humanitäre Hilfe d) Beratung des Antrags der Abgeordneten Thilo Hoppe, Hans-Christian Ströbele und der Fraktion des BÜNDNISSES 90/DIE GRÜNEN Indigene Völker – Ratifizierung des Übereinkommens der Internationalen Arbeitsorganisation (IAO) Nr.;29.06.2006
In Russland, 20 Jahre nach Tschernobyl, einen Aktionsplan verabschieden zu wollen in dem über Entwicklungskredite der Weltbank Entwicklungs- und Schwellenländern Atomkraftwerke verkauft werden sollen, ist eine Gefährdung von Mensch, Natur und Sicherheit über Jahrhunderte.;30.06.2006
"Stattdessen gebe man hier einer differenzierteren Betrachtungsweise den Vorzug; demnach sollte aus erneuerbaren Energien gewonnener Strom von der Belastung durch die Ökosteuer freigestellt werden, die steuerliche Belastung von Strom aus ökologisch problematischen Energiequellen wie Kohle und Atomkraft mit der Ökosteuer jedoch beibehalten werden.";28.02.2007
Der Deutsche Bundestag stellt fest: Die Atomkraft ist wegen ihrer großen Sicherheitsrisiken mit der Gefahr unübersehbarer Schäden nicht zu verantworten. Deshalb hat die rot-grüne Bundesregierung 2000 den Ausstieg der Bundesrepublik Deutschland aus der Atomkraft beschlossen.;28.02.2007
Atomkraft entfällt dagegen als Lösungsweg.;28.02.2007
Die Mitgliedstaaten der Europäischen Union, die Atomkraft weiter nutzen, dürften dafür keine Förderung aus Mitteln der Europäischen Union bzw. Die Förderung und Privilegierung von Atomkraft seien zu beenden, die finanzielle und sonstige Begünstigung von Atomkraftwerksbauten in Mittel und Osteuropa einzustellen. Atomkraft entfalle als Lösungsweg.;28.02.2007
Abgeordneter Hans-Josef Fell (BÜNDNIS 90/ DIE GRÜNEN) Hat die Bundesregierung einen unabhängigen Untersuchungsbericht über die Sicherheitskultur der Firma Vattenfall als Atomkraftwerksbetreiber in Deutschland angefragt, oder beabsichtigt sie, dies zu tun?;02.03.2007
Eine Reihe von Mitgliedstaaten der EU haben nie Atomkraftwerke gebaut.;09.03.2007
"Dabei muss auf Risikotechnologien wie Atomkraft und Grüne Gentechnik verzichtet werden, (Beifall bei Abgeordneten der LINKEN) weil sie nichts anderes als gefährliche Scheinalternativen sind. Anschließend komme ich auf die Frage der Atomkraft zu sprechen, liebe Frau Reiche. So viel zum Thema Sicherheit von Atomkraft. Ich komme zum nächsten Punkt, zur Atomkraft. In der gestrigen Sondersitzung haben Sie gesagt, man müsse bei den Atomkraftwerken endlich durchgreifen; denn schon 1999 und 2002 sei es in Biblis, Philippsburg und Brunsbüttel zu ähnlichen Störfällen gekommen. Sie kennen sicherlich den Unterschied zwischen deutschen Atomkraftwerken und dem Atomkraftwerk in Forsmark.";07.09.2006
Das Atomkraftwerk Biblis A hat große bauliche Defizite und ist nicht ausreichend gegen terroristische Angriffe gerüstet. Seit Anfang der 80er Jahre wird die Nachrüstung einer eigenen verbunkerten Notstandswarte, wie sie bei allen anderen deutschen Atomkraftwerken (AKW) vorhanden ist, angemahnt. Atomkraft leistet darüber hinaus keinen Beitrag zum Klimaschutz. Betrachtet man darüber hinaus die gesamte Produktionskette vom Uranabbau bis zur Entsorgung, erzeugt die Atomkraft CO2, das den ohnehin marginalen Beitrag der Atomkraft zum Klimaschutz weiter reduziert.;21.03.2007
(Ulrike Flach [FDP]: Es ist teuer!) Wir werden bei der Energiepolitik nicht nur auf Regulierung und andere Maßnahmen setzen – eine Wiederauferstehung der Atomkraft wird es nicht geben –, sondern auch auf Energieeffizienz. Analog zu dem, was Herr Seehofer gerade tut, fällt mir dazu nur ein, zu sagen: Sie schlagen vor, dass wir Gammel-Atomkraftwerke weiterlaufen lassen, und Sie gefährden damit die Sicherheit der Menschen in Deutschland.;08.09.2006
Wie beurteilt die Bundesregierung die Pläne Russlands, in diesem Zusammenhang auch verstärkt auf Atomkraft zu setzen? Insbesondere: a) Hält die Bundesregierung die Pläne Russlands, bis 2015 zehn neue Atomkraftwerke (AKWs) zu bauen und bis 2030 den Anteil der Kernenergie von 14 auf 25 Prozent zu erhöhen, für überhaupt realistisch sowie für eine wirksame Maßnahme zur Kompensation des Gasdefizits?;29.03.2007
"Anlage 11 Mündliche Fragen 16 und 17 Hans-Josef Fell (BÜNDNIS 90/ DIE GRÜNEN) Erlaubnis zum Weiterbetrieb der in Deutschland betriebenen Atomkraftwerke zu gleichen Bedingungen wie in Schweden; Ausschluss sicherheitsrelevanter Umbauten ohne Unterrichtung der Aufsichtsbehörden Antwort Astrid Klug, Parl. Staatssekretärin Astrid Klug auf die Fragen des Abgeordneten Hans-Josef Fell (BÜNDNIS 90/DIE GRÜNEN) (Drucksache 16/2584, Fragen 16 und 17): Beabsichtigt die Bundesregierung, die Erlaubnis zum Weiterbetrieb der in Deutschland betriebenen Atomkraftwerke an die gleichen Bedingungen zu knüpfen, die die schwedische Regierung für die Wiederinbetriebnahme der schwedischen Atomreaktoren Forsmark 1 und 2 geknüpft hat? Zu Frage 16: Die deutschen Atomkraftwerke benötigen keine Erlaubnis zum Weiterbetrieb. Anders als in Forsmark erfolgt der Start und Betrieb der Notstromdiesel nach heutigem Kenntnisstand bei allen deutschen Anlagen – bis auf das Atomkraftwerk Brunsbüttel – unabhängig von den so genannten Wechselrichtern, die in Forsmark ausgefallen waren. Zu Frage 17: Sicherheitsrelevante Veränderungen eines Atomkraftwerks oder seines Betriebs sind grundsätzlich wesentliche und damit genehmigungspflichtige Veränderungen.";20.09.2007
"in dem Verständnis, dass es fortlaufende Besorgnisse im Hinblick auf die Sicherheit der Atomkraft gibt, jedoch in Anerkennung ihres Potenzials zur Energieerzeugung ohne die Freisetzung von Treibhausgasen; 6. die Forschungsbemühungen zur Förderung einer sicheren Atomkraft voranzutreiben und die Entwicklung eines multilateralen Ansatzes für angereicherte Uranreserven in Erwägung zu ziehen; f.";02.05.2007
Mündliche Frage 6 Bärbel Höhn (BÜNDNIS 90/ DIE GRÜNEN) Erkundigungen über einen Zusammenhang der Funktionsprüfungen am Atomkraftwerk Biblis A mit der Aufarbeitung des Störfalls im schwedischen Atomkraftwerk Forsmark Antwort Michael Müller, Parl. September dieses Jahres zur Schnellabschaltung des Reaktors geführt haben, im Zusammenhang mit der Aufarbeitung des Störfalls im schwedischen Atomkraftwerk Forsmark standen? Wie steht die Bundesregierung dazu, dass, wie in der Öffentlichkeit an vielen Stellen nachlesbar ist, Biblis A zu den Atomkraftwerken in Deutschland gehört, die gegen den Absturz von Flugzeugen durch einen terroristischen Angriff am schlechtesten geschützt sind?;27.09.2006
Uschi Eid, weiterer Abgeordneter und der Fraktion des BÜNDNISSES 90/DIE GRÜNEN: Eine Weltbank-Energiepolitik der Zukunft – Ja zu mehr Effizienz und erneuerbaren Energien, Nein zur Atomkraft (Drucksachen 16/1961, 16/1978, 16/2762) . Anlage 14 Zu Protokoll gegebene Reden zur Beratung der Beschlussempfehlung und des Berichts zu den Anträgen: – Keine Weltbankkredite für Atomtechnologie – Eine Weltbank-Energiepolitik der Zukunft – Ja zu mehr Effizienz und erneuerbaren Energien, Nein zur Atomkraft (Tagesordnungspunkt 24) Dr. Uschi Eid, weiterer Abgeordneter und der Fraktion des BÜNDNISSES 90/ DIE GRÜNEN Eine Weltbank-Energiepolitik der Zukunft – Ja zu mehr Effizienz und erneuerbaren Energien, Nein zur Atomkraft – Drucksachen 16/1961, 16/1978, 16/2762 – Berichterstattung: Abgeordnete Dr. 2 seiner Beschlussempfehlung empfiehlt der Ausschuss die Ablehnung des Antrags der Fraktion des Bündnisses 90/Die Grünen auf Drucksache 16/1978 mit dem Titel „Eine Weltbank-Energiepolitik der Zukunft – Ja zu mehr Effizienz und erneuerbaren Energien, Nein zur Atomkraft“. Anlage 14 Zu Protokoll gegebene Reden zur Beratung der Beschlussempfehlung und des Berichts zu den Anträgen: – Keine Weltbankkredite für Atomtechnologie – Eine Weltbank-Energiepolitik der Zukunft – Ja zu mehr Effizienz und erneuerbaren Energien, Nein zur Atomkraft (Tagesordnungspunkt 24) Dr. Kaum ein anderes Thema wird mit so viel Leidenschaft und Überzeugung diskutiert, vor allem dann, wenn es dabei auch noch um Atomkraft geht. Wir haben uns als SPD dazu seit Jahren eindeutig positioniert: Wir wollen keine neuen Atomkraftwerke. Es ist erschreckend, dass wir uns 20 Jahre nach Tschernobyl und angesichts der Tatsache, dass auch diese Bundesregierung zugesagt hat, am Atomausstieg festzuhalten, überhaupt noch über Sinn und Unsinn von Atomkraft unterhalten müssen. Und die Befürwortung von Atomkraft wäre ein falsches Signal für andere Geber. Bei der Atomkraft liegt die Weltbank schlicht falsch. Atomkraft bietet keine Lösung der Energieprobleme in Entwicklungsländern. Würde irgendwo auf der Welt auch nur ein Atomkraftwerk rein privatwirtschaftlich gebaut, ohne massive finanzielle staatliche Unterstützung?;28.09.2006
Ein Festhalten an der Atomkraft sei kein sinnvoller Ansatz, die Probleme des Klimawandels in den Griff zu bekommen.;23.05.2007
