filtered_text;sentiment;date
(Beifall bei Abgeordneten der SPD und des BÜNDNISSES 90/DIE GRÜNEN) Wir müssen unter diesem Gesichtspunkt die Diskussion über die Atomkraft führen.;neutral;10.03.2006
56 Qualität der geleisteten Forschung am BfS in Bezug auf die vereinbarten Restlaufzeiten für deutsche Atomkraftwerke . Abgeordneter Carsten Müller (Branschweig) (CDU/CSU) Wie schätzt die Bundesregierung die Bedeutung und die Qualität der geleisteten Forschung am BfS in Bezug auf die vereinbarten Restlaufzeiten für deutsche Atomkraftwerke ein?;neutral;11.08.2006
49 Notstromaggregate der Firma, die die fehlerhaften Aggregate an das schwedische Atomkraftwerk Forsmark geliefert hat, in deutschen Atomkraftwerken . 49 H�hn, B�rbel (BÜNDNIS 90/DIE GRÜNEN) Informierung der Bundesregierung über den Störfall im schwedischen Atomkraftwerk Forsmark . 50 Veranlassung der Sicherheitsüberprüfung der Notstromaggregate für die deutschen Atomkraftwerke . August 2006 Die Notstromaggregate von Atomkraftwerken werden angefordert, wenn es zum Ausfall des Hauptnetzanschlusses der Anlage kommt und auch die Umschaltung zum Reservenetz nicht erfolgreich war. Abgeordneter Hans Josef Fell (BÜNDNIS 90/ DIE GRÜNEN) In welchen deutschen Atomkraftwerken sind Notstromaggregate der Firma eingebaut, die auch die fehlerhaften Aggregate an das schwedische Atomkraftwerk Forsmark geliefert hatte? August 2006 Nach dem derzeitigen Erkenntnisstand war die Ursache für den Störfall im Atomkraftwerk Forsmark 1 der Ausfall eines elektrischen Bauteils (Wechselrichter) zur Erzeugung von Wechselstrom, welcher bei Forsmark 1 zum Betreiben des Notstromaggregats erforderlich war. Nach erster Prüfung der zuständigen Aufsichtsbehörden wird in deutschen Atomkraftwerken zum Betreiben der Notstromaggregate kein Wechselstrom, sondern Gleichstrom aus Batterien eingesetzt. Abgeordnete Bärbel Höhn (BÜNDNIS 90/ DIE GRÜNEN) Wann wurde die Bundesregierung über den schweren Störfall im schwedischen Atomkraftwerk Forsmark informiert? Das Ereignis im Atomkraftwerk Forsmark 1 wurde am 27.;neutral;18.08.2006
11 Fell, Hans-Josef (BÜNDNIS 90/DIE GRÜNEN) Sicherheitslage für Atomkraftwerke infolge der versuchten Terroranschläge auf Züge . 40 Fell, Hans-Josef (BÜNDNIS 90/DIE GRÜNEN) Ausschluss des Versagens mehrerer Sicherheitssysteme in deutschen Atomkraftwerken . Abgeordneter Hans-Josef Fell (BÜNDNIS 90/ DIE GRÜNEN) Gilt aus Sicht der Bundesregierung die verschärfte Sicherheitslage infolge der versuchten Terroranschläge auf Züge auch für die Sicherheit von Atomkraftwerken? Abgeordneter Hans-Josef Fell (BÜNDNIS 90/ DIE GRÜNEN) Kann die Bundesregierung ausschließen, dass in einem deutschen Atomkraftwerk ähnlich wie in dem schwedischen Atomkraftwerk Forsmark-1 mehrere Sicherheitssysteme durch dasselbe Initialereignis, das auch ein Terroranschlag sein könnte, havarieren?;negative;08.09.2006
Abgeordneter Hans Josef Fell (BÜNDNIS 90/ DIE GRÜNEN) Beabsichtigt die Bundesregierung, die Erlaubnis zum Weiterbetrieb der in Deutschland betriebenen Atomkraftwerke an die gleichen Bedingungen zu knüpfen, die die schwedische Regierung für die Wiederinbetriebnahme der schwedischen Atomreaktoren Forsmark 1 und 2 geknüpft hat?;neutral;15.09.2006
September dieses Jahres zur Schnellabschaltung des Reaktors geführt haben, im Zusammenhang mit der Aufarbeitung des Störfalls im schwedischen Atomkraftwerk Forsmark standen?;neutral;22.09.2006
Es widerlegt nämlich maßgeblich die Legende, die gerade auch in Baden-Württemberg gestreut wird, Atomkraft sei eine billige Energie. Man muss nicht an den in der „Financial Times“ angeführten Deal zwischen Ihnen und der Union zu Kohle und Atomkraft glauben. Wenn man aber sieht, dass Ihre Partei nicht weg will von der Kohle und die Union nicht weg will von der Atomkraft, dann kann man nicht daran glauben, dass daraus unter dem Strich eine zukunftsfähige Energiepolitik entstehen und eine nachhaltige Haushaltskonsolidierung erfolgen kann und dass eine Politik gemacht wird, die auf ökonomisch schädliche Subventionen verzichtet. Statt in ihrer großen Finanznot höhere Steuereinnahmen durch den Abbau von ökologisch schädlichen Subventionen zu erzielen, wie durch den Abbau der Kerosinsteuerbefreiung in der Luftfahrt, des steuerbefreiten Schiffsdiesels, des Agrardiesels, der Kohlesubventionen oder der Rückstellungen für Atomkraftwerke, traut sich die große Koalition, eine Antiökosteuer einzuführen.;negative;28.03.2006
Uschi Eid, weiterer Abgeordneter und der Fraktion BÜNDNIS 90/DIE GRÜNEN – Drucksache 16/1978 – Eine Weltbank-Energiepolitik der Zukunft – Ja zu mehr Effizienz und erneuerbaren Energien, Nein zur Atomkraft A. Gefährlich sei besonders die Signalwirkung, die bei der Erwähnung der Atomkraft als sinnvolle Alternative durch die Weltbank ausgelöst werden könne, da sich weitere Länder und Institutionen darauf berufen könnten.;negative;27.09.2006
Wir hatten in Deutschland 30 Jahre lang einen Konflikt zwischen Atomkraftbefürwortern und -gegnern. Es ist doch frappierend, dass sehr energiereiche Länder – nicht nur der Iran, sondern auch Brasilien – Atomkraftwerke möchten. Das ist kein Schritt in Richtung mehr Versorgungssicherheit, genauso wenig wie eine erneute Subventionierung der Atomkraft.;neutral;29.03.2006
Abgeordnete Sylvia Kotting-Uhl (BÜNDNIS 90/ DIE GRÜNEN) Ist der Bundesregierung bekannt, ob neben Biblis A auch andere Atomkraftwerke von falsch montierten Dübeln betroffen sind, insbesondere die AKW Philippsburg II und Neckarwestheim I, und wird die Bundesregierung eine Überprüfung der übrigen Atomkraftwerke veranlassen?;neutral;20.10.2006
Anlage 6 Mündliche Frage 7 Hans-Josef Fell (BÜNDNIS 90/ DIE GRÜNEN) Eventueller Anstieg der Kosten für die Beseitigung der Altlasten aus britischen Atomkraftwerken Antwort Astrid Klug, Parl. Anlage 7 Mündliche Frage 8 Hans-Josef Fell (BÜNDNIS 90/ DIE GRÜNEN) Verschwinden von sicherheitsrelevanten Schlüsseln im Atomkraftwerk Philippsburg Antwort Astrid Klug, Parl. Staatssekretärin Astrid Klug auf die Frage des Abgeordneten Hans-Josef Fell (BÜNDNIS 90/DIE GRÜNEN) (Drucksache 16/1098, Frage 8): Welche Schlussfolgerungen für das Atomrecht zieht die Bundesregierung aus dem Verschwinden von sicherheitsrelevanten Schlüsseln in dem Atomkraftwerk Philippsburg (vergleiche „Stuttgarter Zeitung“ vom 30.;neutral;05.04.2006
"April 2006 Zusatztagesordnungspunkt 5: Aktuelle Stunde auf Verlangen der Fraktion des BÜNDNISSES 90/DIE GRÜNEN: Beitrag des Energiegipfels zur Energieversorgungssicherheit und zur Verringerung der Gefahren durch Atomkraft und Klimawandel . Reinhard Loske, Hans-Josef Fell, Sylvia Kotting-Uhl, weiterer Abgeordneter und der Fraktion des BÜNDNISSES 90/DIE GRÜNEN: Nie wieder Tschernobyl – Zukunftssichere Energieversorgung ohne Atomkraft (Drucksache 16/860) . Ausschuss) Sammelübersicht 35 zu Petitionen – Drucksache 16/1139 – ZP 5 Aktuelle Stunde auf Verlangen der Fraktion des BÜNDNISSES 90/DIE GRÜNEN: Beitrag des Energiegipfels zur Energieversorgungssicherheit und zur Verringerung der Gefahren durch Atomkraft und Klimawandel ZP 6 Beratung der Beschlussempfehlung und des Berichts des Auswärtigen Ausschusses (3. Ich rufe den Zusatztagesordnungspunkt 5 auf: Aktuelle Stunde Beitrag des Energiegipfels zur Energieversorgungssicherheit und zur Verringerung der Gefahren durch Atomkraft und Klimawandel Die Fraktion des Bündnisses 90/Die Grünen hat diese Aktuelle Stunde beantragt. (Renate Künast [BÜNDNIS 90/DIE GRÜNEN]: Atomkraft!) Der grüne Ansatz bei der Wirtschaftlichkeit, den die Bürger heute teuer bezahlen, war: Energie kann ruhig teuer sein; denn nur, wenn Energie teuer ist, gehen die Bürger sparsam damit um. (Renate Künast [BÜNDNIS 90/DIE GRÜNEN]: Während Atomkraft noch in hundert Jahren kostet!) Aufgrund der hohen Kosten für Energie in Deutschland haben wir erhebliche wirtschafts- und arbeitsmarktpolitische Probleme. Dass die Großen der Branche die Investitionen nur in Aussicht stellen, darf sicherlich als Drohkulisse für die Laufzeitverlängerung von Atomkraftwerken verstanden werden; denn da kann man richtig verdienen: 300 Millionen Euro zusätzliche Einnahmen pro Jahr beschert die Verlängerung der Laufzeit eines einzigen Atomkraftwerkes. April 2006 (A) (C) (B) (D) Hans-Kurt Hill heißt, Atomkraftwerke müssten länger laufen. Damit ist die Katze aus dem Sack: Sie wollen neue Atomkraftwerke in diesem Staat. Deswegen haben Sie jetzt die Mär von den neuen Atomkraftwerken erfunden. Als zuständiger Berichterstatter der SPD-Fraktion beschäftige ich mich mit Ihrer Frage nach dem Beitrag des Energiegipfels zur Verringerung der Gefahren durch Atomkraft. Für die SPD-Bundestagsfraktion ist klar: Eine Übertragung von Reststrommengen von neuen Atomkraftwerken auf alte Atomkraftwerke lehnen wir ab. (Beifall bei Abgeordneten der SPD) Die Diskussion über die Laufzeiten der Atomkraftwerke hat leider noch eine andere Folge. (Beifall bei der SPD sowie bei Abgeordneten des BÜNDNISSES 90/DIE GRÜNEN) Es wäre geradezu ein Befreiungsschlag für die Energiepolitik in Deutschland, wenn die Betreiber unserer Atomkraftwerke endlich aufhörten, ständig auf die nächste Bundestagswahl zu starren. Der ohnehin windelweiche Atomausstieg wird ständig infrage gestellt, obwohl die Gefahren der Atomkraft nicht beherrschbar sind. Reinhard Loske, Hans-Josef Fell, Sylvia Kotting-Uhl, weiterer Abgeordneter und der Fraktion des BÜNDNISSES 90/DIE GRÜNEN Nie wieder Tschernobyl – Zukunftssichere Energieversorgung ohne Atomkraft – Drucksache 16/860 – Überweisungsvorschlag: Ausschuss für Umwelt, Naturschutz und Reaktorsicherheit (f) Ausschuss für Wirtschaft und Technologie Ausschuss für Bildung, Forschung und Technikfolgenabschätzung Ausschuss für die Angelegenheiten der Europäischen Union Nach einer interfraktionellen Vereinbarung ist für die Aussprache eine halbe Stunde vorgesehen. (Beifall beim BÜNDNIS 90/DIE GRÜNEN sowie bei Abgeordneten der SPD) Das Restrisiko bleibt, auch wenn uns Wissenschaftler heute erzählen, dass die nächste zu entwickelnde Generation von Atomkraftwerken – Zitat von gestern – „katastrophenfrei“ laufen kann. (Beifall beim BÜNDNIS 90/DIE GRÜNEN sowie bei Abgeordneten der SPD) Tschernobyl markiert auch 20 Jahre danach den wichtigsten Grund für den Ausstieg aus der Atomkraft. Entkräften kann man dagegen alle vermeintlich guten Gründe für die weitere Nutzung der Atomkraft. … In den in Russland und Litauen in Betrieb befindlichen Kernkraftwerken mit RBMK-Reaktoren wurden zahlreiche sicherheitsverbessernde Maßnahmen realisiert … … Die Bundesregierung misst der Sicherheit der Atomkraftwerke in Deutschland höchste Priorität bei. Im Rahmen der Bundesauftragsverwaltung wird dafür Sorge getragen, dass die deutschen Atomkraftwerke auf dem höchstmöglichen Sicherheitsniveau betrieben werden. Die Argumente, die gegen die Atomkraft sprechen, sind im Antrag der Grünen noch einmal aufgeführt. Beispielsweise wird darauf hingewiesen, dass der Brennstoff der AKWs nur noch 40 bis 60 Jahre reicht, dass die Atomkraft nur einen sehr geringen Beitrag zum Klimaschutz leistet und dass kein einziges deutsches AKW einem Terroranschlag wie dem auf die New Yorker Twin Towers standhalten würde. Sind wir nun gefährdet – dann müssen die Atomkraftwerke schnell abgeschaltet werden – oder nicht? Atomkraft senkt nicht die Preise, ausschließlich Spitzenlastkraftwerke bestimmen den Marktpreis. Atomkraft kann keine Brücke zur Einführung neuer Technologien sein. Wir brauchen keine große Fantasie, um uns vorzustellen, dass jemand, der vor zig Jahren mal an einer Anti-Atomkraft-Demo oder unschuldig in einem Polizeikessel gewesen ist, beim Verfassungsschutz als Gewalttäter und „Extremist“ geführt wird.";negative;06.04.2006
Der Versuch der Atomwirtschaft, den Klimawandel für eine Renaissance der Atomkraft zu nutzen, wird scheitern. Sollte diese Energieform einen auch nur bescheidenen Beitrag zum Klimaschutz leisten, müssten in den nächsten Dekaden Tausende neuer Atomkraftwerke gebaut werden, was allein aufgrund der Begrenztheit der Uranreserven ein Luftschloss ist. Atomkraft ist kein Klimaschutz, sondern ein umwelt-, Energie und wirtschaftspolitischer Irrweg.;negative;08.11.2006
Atomkraft entfällt als Lösungsweg.;negative;08.11.2006
39 Beteiligung der Bundesregierung an dem UVP-Verfahren für das ungarische Atomkraftwerk Paks . Abgeordneter Hans-Josef Fell (BÜNDNIS 90/ DIE GRÜNEN) Hat die Bundesregierung sich wie die österreichische Regierung an dem UVP-Verfahren für das ungarische Atomkraftwerk (AKW) Paks beteiligt, bzw.;neutral;10.11.2006
Darin heißt es zur Atomkraft – Herr Gabriel hat das unterschrieben –: Sie ist keine Zukunftstechnologie, sondern hemmt Investitionen in effiziente und erneuerbare Energietechnologien.;negative;10.05.2006
Der Ausbau der Atomkraftkapazitäten sei der einzige Weg, große Mengen sicherer Energie ohne Luftverschmutzung zu erzeugen. Er wies auf die Schwierigkeit des Schutzes von Atomkraftwerken vor terroristischen Angriffen hin. John Sewel (Vereinigtes Königreich) warb für den Ausbau der Atomkraft, denn bei einer Reduzierung der Kapazitäten bestehe ein Risiko für die nationale Versorgungssicherheit.;positive;23.11.2006
Dies resultierte aus einer Verringerung der Gasversorgung, insbesondere nach Beginn des russischen Krieges gegen die Ukraine, der Instrumentalisierung von Energie als Waffe sowie aus heimischen Engpässen bei Wasser- und Atomkraft.;neutral;27.03.2023
Dies resultierte aus einer Verringerung der Gasversorgung, insbesondere nach Beginn des russischen Krieges gegen die Ukraine, der Instrumentalisierung von Energie als Waffe sowie aus heimischen Engpässen bei Wasser- und Atomkraft.;neutral;28.03.2023
Jetzt ist nicht die Zeit für den ideologi- schen Rigorismus einer Anti-Atomkraft-Bewegung, über den die Zeit hinweggegangen ist.;positive;08.07.2022
Ursula von der Leyen, Gas und Atomenergie im Rahmen der Taxonomie-Verord- nung als nachhaltige Investitionen einzustufen (www.heise.de/news/EU-Taxonomie-EU-Kommi ssion-will-Atomkraft-und-Erdgas-als-nachhaltig-e instufen-6233210.html), bei ihrer Haltung gegen die Aufnahme von Atomenergie in die im No- vember zur Veröffentlichung geplante Taxonomie (www.wiwo.de/politik/ausland/taxonomie-staaten gruppe-um-deutschland-macht-front-gegen-eu-ein stufung-der-atomkraft-als-gruen/27387624.html), und wenn ja, inwiefern wird sich die Bundesre- gierung bei der EU-Kommission gegen die Klas- sifizierung von Atomkraft als nachhaltige Investi- tion einsetzen? Abgeordnete Canan Bayram (BÜNDNIS 90/ DIE GRÜNEN) Wirkt die geschäftsführende Bundesregierung auf die EU-Kommission sowie EU-Mitgliedstaaten (vor allem Frankreich) ein, damit erstere nicht wie geplant bald ein EU-Nachhaltigkeitssiegel („grüne Taxonomie“) für Atomkraft und Erdgas vergibt, bevor die neue Bundesregierung amtiert und dagegen intervenieren kann, und wie bewer- tet die geschäftsführende Bundesregierung die von der EU-Kommissionspräsidentin Dr. bestimmte Sektoren der Energiewirtschaft (Atomkraft, Erdgas). Abgeordnete Beatrix von Storch (AfD) Befürwortet die Bundesregierung die Einstufung der Atomkraft als grüne Energie durch die Euro- päische Union, wie das von Frankreich und ande- ren EU-Mitgliedstaaten gefordert wird, und wie bewertet die Bundesregierung die Bedeutung der Atomkraft bei der Erreichung der EU-Klimaziele (vgl.;neutral;05.11.2021
Wahlperiode – 428 – Globaler Klimaschutz: Rahmenbedingungen und Handlungsoptionen – Kapitel 5 Ø ABBILDUNG 145 Klagen1 im Rahmen des Energiechartavertrags nach Energieträger Anzahl der Verfahren 27 24 21 18 15 12 9 6 3 0 2 2 1 4 2 2 11 1 3 3 1 2 1 2 1 2 1 1 12 3 1 9 3 26 11 4 1 4 3 6 2 4 3 5 2 3 2001 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 2021 Erneuerbare Energien Fossile Energieträger Atomkraft Nicht zugeordnet2 1 – 142 Verfahren, davon 55 schwebend.;neutral;15.11.2021
"Dann präsentieren Sie heute die alte Mär der umwelt- freundlichen, sicheren und kostengünstigen Atomkraft. (Karsten Hilse [AfD]: Die hat nichts mit Atomkraftwerken zu tun!) Dort ist zwar nur leichtradioaktiver Müll, aber das zeigt doch, dass das in keinster Weise umweltfreundlich ist. (Beifall bei der SPD sowie bei Abgeordneten des BÜNDNISSES 90/DIE GRÜNEN) Dann sagen Sie, Atomkraft sei sicher. – Auch das ist aus meiner Sicht ein Hinweis, dass die Atomkraft nicht sicher ist. (Karsten Hilse [AfD]: Das habe ich mir gedacht!) Also: Atomkraft ist nicht sicher. Wenn wir das mal weniger emotional betrachten, können wir feststellen: Wenn Atomkraft sicher wäre, würden wir auf dieser Welt ja einen Dienstleister finden, der Atomkraftwerke versichert. Aber auch in der ganzen Finanzwirtschaft fin- den Sie nicht ein Institut, das Atomkraftwerke versichert. Atomkraft gibt es seit über 70 Jahren. 173 Atomkraftwerke sind weltweit mittlerweile abgeschaltet, erst 19 wurden zurückgebaut. Dann sagen Sie, Atomkraft sei kostengünstig. Und wenn Sie das dann vergleichen – die staatlichen Investitionen, die Subventionen und die Folgekosten –, (Zurufe von der AfD) dann sehen Sie, dass Atomkraft um ein Vielfaches teurer ist als erneuerbare Energien, meine sehr verehrten Damen und Herren. Ralph Lenkert [DIE LINKE]) Sie können auch mal nach Großbritannien gucken – Atomkraftwerk Hinkley Point –, wie lange es von der Planung bis zur Fertigstellung eines Atomkraftwerkes dauert. Eine schnelle, eine kostengünstige Antwort ist Atomkraft nicht, meine sehr verehrten Damen und Herren. Wir sollen kein Geld in die Förderung von Atomkraft binden. Dezember 2022 das letzte Atomkraftwerk in Deutschland vom Netz geht. Der Ausstieg aus der Atomkraft wurde hier im Deutschen Bundestag beschlossen und wird nächstes Jahr abge- schlossen sein. Da ist die Tür!) Atomkraft ist gefährlich. Atomkraft ist teuer und pro- duziert am laufenden Band Atommüll, für den wir nun gezwungenermaßen ein Endlager finden müssen, das möglichst sicher ist. (Beifall beim BÜNDNIS 90/DIE GRÜNEN und bei der SPD – Karsten Hilse [AfD]: Wir brauchen kein Endlager!) Die verheerenden Unfälle von Tschernobyl und Fukus- hima haben gezeigt, wie riskant die Atomkraft ist, von den Gefahren der Atomwaffen mal ganz zu schweigen, die eng mit der Nutzung der Atomenergie verbunden sind. Neue Atomkraftwerke werden nur noch mit erheblichen staatlichen Subventio- nen gebaut. In Wirklichkeit ist Atomkraft völlig unwirtschaftlich. Nehmen Sie zum Beispiel das Atomkraftwerk Flamanville in Frank- reich: Die ursprünglich geplanten 3,3 Milliarden Euro Baukosten sind inzwischen auf über 19 Milliarden Euro gestiegen – das ist eine Versechsfachung. Das hat mit Atomkraft nichts zu tun!) Für diese 19 Milliarden Euro könnte man locker 5 000 Windenergieanlagen bauen, die insgesamt das Zwölf- fache an Leistung bringen wie der geplante Reaktorblock. Umso fataler ist es, dass die EU-Kommission in der Diskussion um die Kennzeichnung von nachhaltigen In- vestitionen vor den Atomstaaten jetzt eingeknickt ist und Atomkraft in der sogenannten Taxonomie als „nachhal- tig“ labeln will. Die sagen nämlich, dass ein neues gro- ßes Kraftwerk, das mit Solarenergie betrieben wird, zwi- schen 2 Cent und maximal 6 Cent Gestehungskosten pro Kilowattstunde hat, ein Atomkraftwerk hingegen zwi- schen 14 Cent und 19 Cent. Übrigens gibt es kein Versicherungsunternehmen auf der Welt, das Atomkraftwerke versichert. Es ist ja naiv, zu glauben, man würde keine neuen Ka- pazitäten brauchen, wenn man aus Atomkraft und Kohle aussteigt. im nächsten Jahr; das betrifft übri- gens auch das letzte Atomkraftwerk, das in Bayern noch läuft.";negative;11.11.2021
Abgeordneter Ralph Lenkert (DIE LINKE.) Waren nach Kenntnis der Bundesregierung Pläne für Bau und Schließung französischer Atomkraft- werke Inhalt der Gespräche der Bundesministerin des Auswärtigen Annalena Baerbock bei ihrem Besuch in Paris am 9.;neutral;13.12.2021
Europäisches Greenwashing verhindern, Einstufung von Atomkraft als nachhaltige Technologie stoppen Der Bundestag wolle beschließen: I. Dieser Entwurf ist ein klimapolitischer Offenba- rungseid, da er vorsieht, Investitionen in Atomkraft- und Erdgaskraftwerke in die EU- Taxonomie aufzunehmen und somit als „nachhaltig“ und „klimafreundlich“ einzustu- fen. In- dem die EU-Kommission in ihrem aktuell vorgelegten Entwurf unter bestimmten Be- dingungen Atomkraft dauerhaft zur „klimafreundlichen“ und „nachhaltigen“ Alterna- tive erklärt, konterkariert sie jedoch die EU-Klimaziele, gefährdet die notwendige Um- stellung der Energieproduktion auf erneuerbare Energieträger und nimmt milliarden- schwere Investitions(rück)flüsse in gefährliche, klimaschädliche und ineffiziente Technologien zuungunsten von Investitionen in Erneuerbare und Energieeffizienz in Kauf. Die in dem Rechtsakt-Entwurf vorgenommene dauerhafte Aufnahme der Atomkraft in die EU-Taxonomie ist umwelt- und klimapolitisch katastrophal. Wahlperiode Schäden im Fall von Nuklearunfällen aus, ignoriert die Umweltschäden beim Abbau der Uranerze und bei der Aufbereitung des Brennmaterials sowie die ungelöste Frage der Entsorgung und Endlagerung des anfallenden Atommülls und den enormen Res- sourcenverbrauch für Bau und später Rückbau von Atomkraftwerken. Neubau- ten von Atomkraftwerken können als „grüne Investition“ eingestuft werden, wenn ihre Baugenehmigung bis 2045 vorliegt. Es ist aus Sicht des Bundestages unverantwortlich, wie sich die Kommission (unter- stützt von zahlreichen EU-Regierungen und der Atomlobby) über wissenschaftlich be- gründete Belege der Gefährlichkeit, Umwelt- und Klimaschädlichkeit sowie wirt- schaftlicher Ineffizienz der Atomkraft hinwegsetzt. Ihre bereits im April 2021 in einer Mitteilung (KOM(2021) 188 final) angekündigte Absicht, Atomkraft in die Taxono- mie aufzunehmen, begründete sie mit Verweis auf eine Studie ihres eigenen wissen- schaftlichen Dienstes (Joint Research Center, JRC), der der Atomkraft bescheinigte, Klima, Mensch und Umwelt keinen „signifikanten Schaden“ zuzufügen. Die Kommission setzt sich mindestens dem Verdacht aus, einen seit Jahren andauern- den Konflikt im Rat zwischen EU-Mitgliedstaaten wie Frankreich und vielen skandi- navischen und osteuropäischen Staaten einerseits, die eine Einstufung von Atomkraft als „grüner Technologie“ befürworten, und Staaten wie vor allem Österreich und Lu- xemburg sowie Portugal, Dänemark und Deutschland andererseits, die dies ablehnen, nun mit der Brechstange zur Entscheidung führen zu wollen. Wahlperiode – 3 – Drucksache 20/402 nung der Einstufung von Atomkraft als nachhaltige Technologie mitgewirkt habe. Die Bundesregierung steht auch deshalb gegenüber Bundestag und Öffent- lichkeit in der Pflicht, sich – erstens – auf EU-Ebene aktiv und mit äußerstem Nach- druck dafür einzusetzen, dass Atomkraft nicht als nachhaltige Technologie in die EU- Taxonomie aufgenommen wird. Dies darf sich in Anbetracht der aktuellen Mehrheitsverhältnisse im Rat, die den Entwurf der Kommission stützen, nicht nur im Abstimmungsver- halten sowie in Erklärungen erschöpfen, dass Deutschland in der Atomkraft keine nachhaltige Technologie sieht. auf Ratsebene, mit der Kommission und bilateral mit Staaten wie Frankreich, die derzeit auf Atomenergie setzen, und/oder wie Staaten aus Osteuropa, die derzeit noch stark auf Kohle und fossile Brennstoffe für ihre Energieversorgung ange- wiesen sind, in einen Dialog zu treten, wie sich die Transformation zu erneuerba- ren Energien zur Erreichung der EU-Klimaziele ökologisch, sozial und energie- politisch auch ohne Atomkraft nachhaltig umsetzen lässt.;negative;12.01.2022
Abgeordneter Uwe Schulz (AfD) Wie hat die Bundesregierung die Vorschläge der EU-Kommission zur sogenannten Taxonomie (In- vestitionen in Atomkraft und Erdgas im Rahmen der EU-Taxonomie als nachhaltig „GRÜN“ ein- zustufen) kommentiert, und mit welchen EU-Mit- gliedstaaten wurden in diesem Zusammenhang von der deutschen Bundesregierung proaktive Gespräche geführt (bitte die jeweiligen Ge- sprächsergebnisse skizzieren)? Januar 2022 eine Stellungnahme zum Vorschlag der Europäischen Kommission für einen ergänzenden Dele- gierten Rechtsakt zur Einstufung von Atomkraft und Erdgas als nachhal- tig im Rahmen der EU-Taxonomie zur Klassifizierung ökologisch nach- haltiger Wirtschaftsaktivitäten (Verordnung (EU) 2020/852) übermittelt.;neutral;24.01.2022
Die Fraktion der SPD erklärte, dass entgegen der im Antrag vorgebrachten Argumente die Stromgewinnung aus Atomkraft weder klimafreundlich noch kostengünstig sei. Gegen die Klimafreundlichkeit und die CO2-Neutralität von Atomkraftwerken führte die SPD-Fraktion aus, dass CO2-Emissionen insbesondere vor und nach der Strom- produktion entstünden, so beispielsweise beim Uranabbau, beim Bau und Rückbau von Kernkraftwerken sowie bei der zukünftigen Endlagerung des Urans. Wahlperiode – 5 – Drucksache 20/763 Die Stromgewinnung aus Atomkraftwerken erscheine nur vordergründig kostengünstig. Ferner seien auch hinsichtlich neuer, moderner Atomkraftwerke Investitionen notwendig, um die bisher noch nicht vollständig ausgereiften Technologien weiterzuentwickeln. Zudem gebe es nicht vermeidbare Risiken beim Betrieb von Atomkraftwerken. Auch das im Antrag genannte Ziel der „Energieunab- hängigkeit“ könne durch die Atomkraft nicht erreicht werden. Auch die Betreiberinnen und Betreiber der drei noch laufenden Atomkraftwerke befürworteten den Atomausstieg. Die Fraktion der SPD berief sich insoweit auch auf eine Aussage des Vorstandsvorsitzenden von E.ON, Leonhard Birnbaum, der noch im Herbst 2021 sagte, dass er es befremdlich finde, dass in Deutschland eine Debatte geführt werde, ob Atomkraftwerke einen wichtigen Beitrag zum Klimaschutz leisteten. Deutschland habe gleichzeitig Atomkraftwerke und auch Kohlekraftwerke abgeschaltet. Es sei nicht rich- tig, dass Atomkraft günstig und sicher sei. Auch müsse die Allgemeinheit die Kosten für die Endlagerung tragen, nicht aber die Betreiber der Atomkraftwerke. Die Fraktion betonte, dass sie den Ausstieg aus der Atomkraft für richtig halte und diesen weiterhin unterstützen werde.;negative;17.02.2022
Abgeordnete Carolin Bachmann (AfD) Welche Position nimmt die Bundesregierung ge- genüber der EU-Kommission ein, die Atomkraft als grüne Energie einzustufen?;neutral;14.02.2022
Im kommenden Jahr beenden wir das Zeitalter der Atomkraft in Deutsch- land nach Jahrzehnten des gesellschaftlichen Konflikts.;negative;15.12.2021
